element_id,route,region,purpose,audience,classification,data_kind,data_source,control_contract,mobile_390,tablet_834,desktop_1440,states,a11y,privacy_boundary,owning_task
shell.brand,all,application header,Identify StudioOps and local context,owner,confirmed,static,canonical logo and product configuration,Home link to /portfolio,64 px bar with compact logo,72 px bar with compact logo,72 px bar above rail and workspace,"default;offline;degraded","banner; informative logo alt; environment is text",No repository or customer name in shell,task_120
shell.primary_nav,all,primary navigation,Move among owner domains,owner,confirmed,interactive,route configuration,Links to /portfolio /work /qa /actions /operations /policies,bottom navigation exposes four priorities and More opens drawer,72 px rail can collapse to drawer,persistent 240 px project rail,"default;hover;focus;active;disabled","nav named Primary; current page aria-current=page; 44 px touch targets",Counts are aggregate and local,task_120
shell.status,all,header utility,Show local connectivity without dominating decisions,owner,inferred,dynamic,GET /api/ui/v1/operations?section=summary,Read only; capability links to /operations when allowed,icon plus short label in header,same,same,"loading;offline;stale;degraded;error","role=status only on changes; icon plus text",No worker names or paths,task_120
portfolio.summary,/portfolio,first main region,Answer what needs attention now,owner,confirmed,dynamic,GET /api/ui/v1/portfolio,Project card links to /work?project=:key,stacked summary cards,2-column summary,3-column summary,"loading;empty;error;offline;stale;permission;degraded","main starts here; h1 Portfolio",Aggregate counts only,task_83
portfolio.health,/portfolio,main secondary,Compare project progress and risk,owner,confirmed,dynamic,GET /api/ui/v1/portfolio,Rows link to scoped Work or QA,stacked key-value,compact table,table plus trend,"loading;empty;error;offline;stale;permission;degraded","caption and row headers; no color-only meaning",No prompts branch paths or worker payloads,task_83
portfolio.next_action,/portfolio,main secondary,Expose one next owner decision,owner,confirmed,dynamic,GET /api/ui/v1/portfolio,Link to /actions,one compact card,inline callout,inspector callout,"loading;empty;error;offline;stale;permission;degraded","named section; urgency announced only when it changes",Privacy-minimal title and age,task_83
work.filters,/work,workspace header,Narrow work without changing lifecycle,owner,confirmed,interactive,GET /api/ui/v1/work?project=:key&stage=:stage&q=:query&limit=50&cursor=:opaque,URL-only GET navigation; limit above 100 rejected,drawer disclosure,toolbar wrap,single-line toolbar,"default;hover;focus;active;disabled;loading","persistent labels; submit on explicit action on small screens",Query excludes prompts and private paths,task_83
work.stage_nav,/work,workspace subnavigation,Move among Intake Ready Build Review QA Release Done,owner,confirmed,interactive,GET /api/ui/v1/work?view=stage-counts,GET /work?stage=:stage,horizontal scroll with selected item,wrapped segmented control,horizontal segmented control,"default;hover;focus;active;disabled","list of links; aria-current=page; not tabs",Counts contain no sensitive details,task_83
work.list,/work,first main content,Scan ordered work items,owner,confirmed,dynamic,GET /api/ui/v1/work?limit=50&cursor=:opaque,Row link to /tasks/:id; board requests 25 cards per column,compact rows,master list in list-detail,table or board chosen by owner,"loading;empty;error;offline;stale;permission;degraded","list/table semantics; status text plus icon",No raw prompts internal error strings or local paths,task_83
task.header,/tasks/:id,first main region,Identify requested task and current decision state,owner,confirmed,dynamic,GET /api/ui/v1/tasks/:id/summary,Read only; project crumb links to /work?project=:key,full-screen compact header,detail header right of master list,detail header with optional inspector,"loading;error;offline;stale;permission;degraded","main starts with breadcrumb then h1; focus h1 after client navigation",Human-readable status only,task_83
task.tabs,/tasks/:id,task navigation,Switch exact task sections,owner,confirmed,interactive,GET /api/ui/v1/tasks/:id/:tab,GET /tasks/:id?tab=brief|activity|reviews|qa-evidence|dependencies|runs,horizontal scroll,single-line tabs,single-line tabs,"default;hover;focus;active;disabled","tablist manual activation; arrows move; tab order has one active tab",Each tab excludes unrelated history and diagnostics,task_83
task.brief,/tasks/:id?tab=brief,first tab panel,Explain why and what success means,owner,confirmed,dynamic,GET /api/ui/v1/tasks/:id/brief,Read only,stacked sections,2-column where space allows,2-column main plus metadata inspector,"loading;empty;error;offline;stale;permission;degraded","tabpanel named Brief; headings preserve outline",No raw prompt or unnecessary local path,task_83
task.activity,/tasks/:id?tab=activity,tab panel,Provide owner-readable event history,owner,confirmed,dynamic,GET /api/ui/v1/tasks/:id/activity?limit=50&cursor=:opaque,Filters update URL only; cursor is opaque,vertical timeline,vertical timeline,vertical timeline with filters,"loading;empty;error;offline;stale;permission;degraded","ordered list; time element; new events polite live region",Actor IDs minimized to role labels,task_83
task.reviews,/tasks/:id?tab=reviews,tab panel,Show review outcome bound to subject,owner,confirmed,dynamic,GET /api/ui/v1/tasks/:id/reviews?limit=50&cursor=:opaque,Review links open immutable evidence,stacked summaries,table summaries,table plus inspector,"loading;empty;error;offline;stale;permission;degraded","status icon and text; SHA read as grouped characters",Reviewer notes redact secrets and prompts,task_83
task.qa_evidence,/tasks/:id?tab=qa-evidence,tab panel,Map task criteria to candidate evidence,owner,confirmed,dynamic,GET /api/ui/v1/tasks/:id/qa-evidence?limit=50&cursor=:opaque,Links go to /qa/candidates/:id#criterion-:n,stacked criteria,criteria list plus detail,criteria table plus preview,"loading;empty;error;offline;stale;permission;degraded","figure captions; media alt; evidence links named",Never inline logs that may contain secrets,task_83
task.dependencies,/tasks/:id?tab=dependencies,tab panel,Explain blocked-by and enables relationships,owner,confirmed,dynamic,GET /api/ui/v1/tasks/:id/dependencies?limit=50&cursor=:opaque,Task links to /tasks/:id,stacked relation lists,2-column relations,dependency map plus accessible list,"loading;empty;error;offline;stale;permission;degraded","accessible list is canonical; graph is supplementary",Task titles only,task_83
task.runs,/tasks/:id?tab=runs,tab panel,Summarize execution without prompt leakage,owner,confirmed,dynamic,GET /api/ui/v1/tasks/:id/runs?limit=50&cursor=:opaque,Run summary opens operator-safe details only when capability allows,compact run rows,run table,run table plus inspector,"loading;empty;error;offline;stale;permission;degraded","table headings; running changes announced politely",No prompt source content token or full filesystem path,task_83
task.diagnostics,/tasks/:id?tab=runs,operator diagnostics disclosure,Restrict raw prompts and statuses to operators,operator,confirmed,dynamic,GET /api/ui/v1/tasks/:id/runs with operator diagnostics capability,Unavailable until operator authorization and redaction exist,collapsed and secondary,collapsed and secondary,inspector disclosure,"closed;open;loading;error;permission","details/summary; warning precedes sensitive content",Operator-only; copy disabled by default,task_83
qa.queue,/qa,first main region,Scan immutable QA candidates and release work,owner,confirmed,dynamic,GET /api/ui/v1/qa?limit=50&cursor=:opaque,Row links to /qa/candidates/:id,compact rows,master list in list-detail,table with completeness columns,"loading;empty;error;offline;stale;permission;degraded","h1 then list/table; status text plus icon",Candidate IDs and synthetic-safe summaries,task_84
candidate.header,/qa/candidates/:id,first main region,Identify exact immutable candidate,owner,confirmed,dynamic,GET /api/ui/v1/qa/candidates/:id,Read only; task links to /tasks/:id,full-screen compact header,detail header,detail header with integrity inspector,"loading;error;offline;stale;permission;degraded","main begins here; h1 focus after navigation",Exact short SHAs allowed; repo path and prompts excluded,task_84
candidate.integrity,/qa/candidates/:id,integrity banner,Bind decision to exact manifest and commits,owner,confirmed,dynamic,GET /api/ui/v1/qa/candidates/:id,Open manifest only when server capability allows,stacked key-values,2-column key-values,one-line verified summary,"loading;error;stale;permission;degraded","status text plus icon; digest copy label",Digest and SHAs are local workflow metadata,task_84
candidate.packet,/qa/candidates/:id,main content,Provide complete ordered QA packet,owner,confirmed,dynamic,GET /api/ui/v1/qa/candidates/:id,Evidence links target hashed allowlisted local artifacts,stacked sections,split test list and evidence,main plus inspector,"loading;empty;error;offline;stale;permission;degraded","ordered steps; expected result paired per criterion",Accounts fixtures and logs are redacted/minimized,task_84
