component,purpose,anatomy,variants,interaction_states,data_contract,responsive_contract,accessibility_contract,owning_task
AppShell,Provide calm route-first frame,"skip link; header; logo; primary nav; main; optional inspector; feedback outlet","mobile bottom nav; tablet 72 px rail; desktop 240 px rail","default;offline;stale;degraded",current /api/ui/v1 route envelope schemaVersion generatedAt stateVersion and capabilities,"390 header 64 and bottom nav; 834 header 72 plus rail; 1440 rail 240 plus workspace","skip link first; banner nav main landmarks; main focus on navigation; 44 px touch targets",task_120
BrandMark,Identify product without oversized masthead,"canonical image; product name; environment label","compact; mark-only","default;focus",canonical logo path intrinsic dimensions checksum-protected copy,"40 px image at all references; product name may hide below 340 CSS px","informative alt StudioOps; fixed dimensions prevent CLS",task_120
PrimaryNav,Move across owner domains,"nav label; nav items; count; More trigger","rail; bottom; drawer","default;hover;focus;active;disabled",checksum copy plus approved routes and bounded count from visible /api/ui/v1 envelope,"bottom shows Portfolio Work QA Actions and More; all six in rail/drawer","nav named Primary; aria-current page; drawer restores focus",task_120
PageHeader,Name route and decision context,"eyebrow; h1; summary; metadata; optional utility","standard; task; candidate; compact","loading;stale;permission",current route envelope data generatedAt and stateVersion,"stack below 768; align at desktop","single h1; route main starts with header; no duplicate title",task_120
FilterBar,Narrow lists using shareable URL state,"search; project; stage; clear; result count","inline; drawer","default;hover;focus;active;disabled;loading;error",GET /api/ui/v1/work with default 50 maximum 100 and opaque cursor,"drawer at 390; wraps at 834; inline at 1440","persistent labels; explicit Apply on mobile; result change polite",task_83
StageNav,Move among lifecycle projections,"stage links; count; current marker","scrolling; wrapped","default;hover;focus;active;disabled",GET /api/ui/v1/work?view=stage-counts in versioned envelope,"horizontal scroll at 390; wrap at 834; single line at 1440","links not tabs; aria-current page; text plus selected marker",task_83
WorkRow,Scan one task without opening a full card,"project and ID; title; human status; age; owner; single link","compact; selected; blocked","default;hover;focus;selected;loading;error;stale",one row from bounded GET /api/ui/v1/work data plus route href,"stack metadata at 390; grid at 834 and 1440","one row link with descriptive name; status not color only",task_83
TaskHeader,Identify a direct task route first,"breadcrumb; ID; title; summary; status; owner; age","standard; blocked; QA-ready","loading;error;offline;stale;permission;degraded",GET /api/ui/v1/tasks/:id/summary only,"full screen at 390; detail pane 834; workspace plus inspector 1440","h1 receives programmatic focus after SPA navigation; breadcrumb nav label",task_83
TaskTabs,Expose exact task views,"tablist; six tabs; active panel","scrolling; fixed","default;hover;focus;active;disabled",independent GET /api/ui/v1/tasks/:id/:tab envelopes with bounded history pages,"horizontal scroll at 390; fits at 834 and 1440","manual activation; Left Right Home End; one tabindex zero; aria-controls",task_83
BriefPanel,Explain intent and completion,"story; expected outcome; criteria; safety and privacy notes","single; split","loading;empty;error;stale;permission;degraded",GET /api/ui/v1/tasks/:id/brief excludes prompts and unrelated history,"stack 390; two columns from 834","tabpanel; semantic headings; criteria list",task_83
ActivityTimeline,Show owner-readable history,"filter; ordered events; actor role; time; acknowledgement","standard; compact","loading;empty;error;offline;stale;permission;degraded",GET /api/ui/v1/tasks/:id/activity with default 50 maximum 100 and opaque cursor,"single column all sizes; filters wrap","ordered list; time datetime; new event polite",task_83
ReviewSummary,Show evidence-bound review result,"stage; outcome; subject SHA; reviewer role; findings link","approved; changes; skipped; pending","loading;empty;error;stale;permission",GET /api/ui/v1/tasks/:id/reviews with bounded page and exact subject,"stack at 390; table row at 834 plus","icon plus text; SHA copy label; finding count announced",task_83
